X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.011820946871,40.0560715711442,2685,Thomas Holme School Playground,5_12_YEARS,2015/01/01 00:00:00+00, ,2024 September Site Visits
-75.167215095532,39.9688833390501,2686,Francisville Recreation Center,5_12_YEARS,2012/01/01 00:00:00+00, ,Nearmap 2023
-75.1010689293192,40.0459092019909,2687,Lawncrest Recreation Center,5_12_YEARS,, ,Nearmap 2023
-74.9744272031744,40.079447439046,2688,Corporal Jimmy OConnor Memorial Playground,5_12_YEARS,2012/01/01 00:00:00+00,Formerly Chalfont Playground,2024 September Site Visits
-75.0345876256812,40.0300171789308,2689,Charles A Russo Playground,5_12_YEARS,2012/01/01 00:00:00+00, ,Nearmap 2023
-75.1193375335742,39.9951185138029,2690,McPherson Square,2_5_YEARS,2012/01/01 00:00:00+00, ,Nearmap 2023
-75.1423264192288,39.9716583424125,2691,Thomas Hart Park,2_5_YEARS,, ,Nearmap 2023
-75.1510580833714,39.9558615114041,2692,Franklin Square,5_12_YEARS,, ,Nearmap 2023
-75.1372472907824,39.9724698832745,2693,Hancock Playground,5_12_YEARS,2020/08/01 00:00:00+00, ,Nearmap 2023
-75.1294667838453,40.0018435769146,2694,John (Steve) Schmidt Playground,5_12_YEARS,, ,Nearmap 2023
-75.0801731135338,40.0241546436797,2695,Joseph C McIlvain Playground,5_12_YEARS,2023/01/01 00:00:00+00,Renovated Winter 2023,Capital 2023
-75.1536893425177,39.9155185616273,2696,Lawrence E Murphy Recreation Center,5_12_YEARS,2017/01/01 00:00:00+00, ,Nearmap 2023
-74.9893219099009,40.0952011771668,2697,Michael Palmer Playground,5_12_YEARS,2018/01/01 00:00:00+00, ,2024 September Site Visits
-75.1963279367064,39.9640191843914,2698,37th and Mount Vernon Playground,5_12_YEARS,2016/10/26 00:00:00+00, ,Nearmap 2023
-75.137034956803,40.0384475857691,2699,A Albert Cherashore Playground,5_12_YEARS,, ,2024 October Site Visits
-75.164349946428,39.9331664850538,2700,Columbus Square,5_12_YEARS,, ,Nearmap 2023
-74.9976693079096,40.0589268996067,2701,Torresdale Recreation Center,5_12_YEARS,2019/01/01 00:00:00+00, ,Nearmap 2023
-75.0971852274094,40.0127562953595,2702,Boniface Piccoli Playground,5_12_YEARS,2017/01/01 00:00:00+00, ,Nearmap 2023
-74.9915630824383,40.0680625948836,2703,Thomas Mitchell Playground,5_12_YEARS,2022/06/01 00:00:00+00, ,Nearmap 2023
-75.1432440424009,39.9627603903833,2704,Northern Liberties Recreation Center,2_5_YEARS,, ,Nearmap 2023
-75.2320260992519,39.9152173603464,2705,J Francis Finnegan Playground,5_12_YEARS,2017/01/01 00:00:00+00,Next to Recreation Center,Nearmap 2023
-75.0803261275796,40.0138934115899,2706,Wilmot Park,UNKNOWN,, ,Nearmap 2023
-75.2225773889606,39.9671090384164,2707,West Mill Creek Playground,5_12_YEARS,2014/01/01 00:00:00+00, ,Nearmap 2023
-75.1675887941267,39.9655702673435,2708,Roberto Clemente Playground,2_5_YEARS,2011/01/01 00:00:00+00, ,Nearmap 2023
-75.1835428253994,39.9481274231297,2709,William H (Billy) Markward Memorial Playground,2_5_YEARS,2017/01/01 00:00:00+00, ,Nearmap 2023
-75.179362105252,39.9423075698804,2710,22nd and Catharine Park,2_5_YEARS,,Looks like Non-PPR Equipment,Nearmap 2023
-75.1713646942886,39.9421155126006,2711,Marian Anderson Recreation Center,2_5_YEARS,2018/01/01 00:00:00+00, ,Nearmap 2023
-75.2318960873511,39.9835536911541,2712,Triangle Park,5_12_YEARS,2014/01/01 00:00:00+00, ,Nearmap 2023
-75.2411023033799,39.9820026888216,2713,Ernest L Tustin Recreation Center,2_5_YEARS,, ,Nearmap 2023
-75.256229400628,39.9743843300739,2714,Charles A Papa Playground,2_5_YEARS,2015/01/01 00:00:00+00, ,Nearmap 2023
-75.2601639605939,39.9729197373523,2715,Samuel Rose Recreation Center,2_5_YEARS,, ,Nearmap 2023
-75.228087110321,39.9753834477809,2716,Conestoga Community Playground,2_5_YEARS,2016/10/01 00:00:00+00, ,Nearmap 2023
-75.2344718634119,39.9671596230333,2717,Haddington-Marshall L Shepard Sr Recreation Center,2_5_YEARS,, ,Nearmap 2023
-75.2390331425948,39.9565199462573,2718,Howard Sayre Morris Recreation Center,2_5_YEARS,, ,Nearmap 2023
