Site Number,Pb_Content,Longitude,Latitude,
553,2765,-75.117213,39.978477,
554,2763,-75.116714,39.976740,
555,2744,-75.220965,39.949689,
556,2500,-75.191297,40.058053,
557,2500,-75.119002,39.975619,
558,2400,-75.187377,39.981380,
559,2400,-75.122156,39.981853,
560,2357,-75.120946,39.978667,
561,2354,-75.120502,39.978151,
562,2323,-75.091047,40.016392,
563,2300,-75.167316,39.935466,
564,2300,-75.128535,39.982398,
565,2279,-75.162180,39.952220,
566,2278,-75.117213,39.978477,
567,2200,-75.175336,39.990301,
568,2200,-75.213338,40.021446,
569,2144,-75.121004,39.977739,
570,2141,-75.162180,39.952220,
571,2109,-75.162180,39.952220,
572,2100,-75.132530,39.971104,
573,2051,-75.155004,39.922920,
574,2006,-75.188096,39.992074,
575,2000,-75.178675,39.978625,
576,1982,-75.128170,39.982059,
577,1900,-75.146769,39.963236,
578,1900,-75.206321,40.077563,
579,1819,-75.116502,39.977658,
580,1808,-75.128170,39.982059,
581,1800,-75.192921,39.961967,
582,1800,-75.116576,39.976844,
583,1800,-75.219193,40.029975,
584,1783,-75.122451,39.979404,
585,1718,-75.123827,39.980924,
586,1713,-75.217581,39.945020,
587,1701,-75.132540,39.971178,
588,1700,-75.146769,39.963236,
589,1700,-75.131871,39.969889,
590,1691,-75.125336,39.970764,
591,1647,-75.210631,39.962504,
592,1632,-75.130497,39.976317,
593,1600,-75.212003,39.954006,
594,1600,-75.145887,39.966827,
595,1600,-75.132530,39.971104,
596,1593,-75.123827,39.980924,
597,1536,-75.188096,39.992074,
598,1523,-75.188513,40.035000,
599,1500,-75.148443,39.944961,
600,1500,-75.123827,39.980924,
601,1499,-75.130497,39.976317,
602,1493,-75.223118,39.947626,
603,1478,-75.117861,39.979215,
604,1468,-75.117913,39.978193,
605,1460,-75.223118,39.947626,
606,1448,-75.165017,40.025799,
607,1445,-75.123270,39.980340,
608,1442,-75.157836,40.002210,
609,1439,-75.163441,39.951526,
610,1400,-75.155904,39.962867,
611,1400,-75.142914,39.971132,
612,1400,-75.133132,39.974614,
613,1400,-75.129456,39.978148,
614,1400,-75.127361,39.979062,
615,1400,-75.122420,39.979498,
616,1372,-75.117861,39.979215,
617,1371,-75.116281,39.977406,
618,1364,-75.143089,40.006805,
619,1349,-75.135031,40.050934,
620,1339,-75.188096,39.992074,
621,1323,-75.163441,39.951526,
622,1322,-75.210631,39.962504,
623,1321,-75.132653,39.975372,
624,1318,-75.163441,39.951526,
625,1313,-75.128170,39.982059,
626,1312,-75.210631,39.962504,
627,1300,-75.148020,39.953630,
628,1300,-75.180145,40.039117,
629,1300,-75.140905,39.984548,
630,1285,-75.120946,39.978667,
631,1284,-75.169965,39.992759,
632,1280,-75.121004,39.977739,
633,1278,-75.089623,39.989088,
634,1275,-75.122451,39.979404,
635,1269,-75.198425,40.044915,
636,1260,-75.131730,39.969720,
637,1247,-75.117913,39.978193,
638,1235,-75.116502,39.977658,
639,1221,-75.220229,39.964742,
640,1205,-75.125542,39.986775,
641,1204,-75.117213,39.978477,
642,1200,-75.171946,39.929584,
643,1200,-75.152844,39.962321,
644,1200,-75.136114,39.965775,
645,1200,-75.142914,39.971132,
646,1200,-75.144726,39.975525,
647,1200,-75.127481,39.972210,
648,1197,-75.116281,39.977406,
649,1196,-75.127333,39.983085,
650,1187,-75.220940,39.954582,
651,1162,-75.157968,39.986424,
652,1133,-75.222063,39.954078,
653,1129,-75.122451,39.979404,
654,1116,-75.120374,39.978955,
655,1112,-75.187977,40.052019,
656,1109,-75.120374,39.978955,
657,1108,-75.069986,40.039007,
658,1107,-75.131730,39.969720,
659,1104,-75.132193,39.976146,
660,1100,-75.188096,39.992074,
661,1100,-75.166863,39.927680,
662,1100,-75.174382,39.964705,
663,1100,-75.141061,39.962843,
664,1100,-75.127690,39.975100,
665,1100,-75.122420,39.979498,
666,1100,-75.123827,39.980924,
667,1100,-75.127901,39.969856,
668,1100,-75.125451,39.970919,
669,1100,-75.116576,39.976844,
670,1100,-75.143231,39.984654,
671,1100,-75.147154,39.988197,
672,1098,-75.230712,39.950882,
673,1097,-75.117861,39.979215,
674,1095,-75.162180,39.952220,
675,1093,-75.069986,40.039007,
676,1092,-75.126704,39.973221,
677,1087,-75.129835,39.969045,
678,1072,-75.116502,39.977658,
679,1071,-75.132414,39.966849,
680,1059,-75.132540,39.971178,
681,1058,-75.217781,39.947135,
682,1055,-75.165335,40.024051,
683,1053,-75.165335,40.024051,
684,1047,-75.123873,39.974724,
685,1045,-75.120943,39.978756,
686,1029,-75.176626,40.034086,
687,1024,-75.212031,39.946245,
688,1021,-75.124453,39.981663,
689,1016,-75.116502,39.977658,
